,GROUP_NAME,PlusMinus
154,M. Conley - K. Olynyk - J. Clarkson - L. Markkanen - J. Vanderbilt,-0.5
155,N. Batum - M. Morris Sr. - N. Powell - I. Zubac - T. Mann,-2.5
156,A. Burks - M. Bagley III - J. Wiseman - I. Livers - J. Ivey,-13.0
157,B. Adebayo - D. Robinson - H. Highsmith - M. Strus - J. Bouyea,0.0
158,C. Paul - D. Lee - T. Craig - D. Ayton - J. Landale,-14.0
159,D. Green - K. Looney - J. Poole - J. Kuminga - M. Moody,-8.0
160,D. Jordan - K. Caldwell-Pope - B. Brown - M. Porter Jr. - B. Hyland,-6.0
161,P. Tucker - T. Harris - M. Harrell - D. Melton - S. Milton,2.2
162,S. Dinwiddie - D. Finney-Smith - Y. Watanabe - D. Sharpe - C. Thomas,16.0
163,S. Gilgeous-Alexander - L. Dort - J. Giddey - J. Williams - J. Williams,-1.0
164,A. Nembhard - J. Nwora - A. Nesmith - J. Smith - B. Mathurin,-12.0
165,J. Green - J. Murray - V. Cancar - Z. Nnaji - C. Braun,7.0
166,M. Fultz - M. Wagner - F. Wagner - J. Suggs - P. Banchero,0.30000000000000004
167,M. Plumlee - K. Oubre Jr. - T. Rozier - P. Washington - J. McDaniels,1.1
168,C. McCollum - W. Hernangomez - J. Richardson - B. Ingram - H. Jones,-5.0
169,J. Wall - R. Covington - N. Powell - A. Coffey - M. Brown,7.0
170,L. Nance Jr. - D. Graham - J. Hayes - K. Lewis Jr. - N. Marshall,4.0
171,T. Hardaway Jr. - S. Dinwiddie - D. Powell - C. Wood - D. Finney-Smith,-12.0
172,B. Beal - K. Porzingis - K. Kuzma - M. Morris - A. Gill,0.0
173,D. Mitchell - J. Allen - D. Garland - I. Okoro - E. Mobley,1.4
174,G. Hayward - T. Rozier - P. Washington - L. Ball - M. Williams,-2.0
175,J. Randle - J. Brunson - R. Barrett - Q. Grimes - J. Sims,-2.8
176,K. Irving - R. Bullock - T. Hardaway Jr. - D. Powell - J. Green,5.0
177,K. Lowry - B. Adebayo - C. Martin - T. Herro - N. Jovic,-5.0
178,S. Adams - D. Brooks - J. Jackson Jr. - J. Morant - D. Bane,3.1
179,K. Knox II - S. Mays - T. Watford - S. Sharpe - J. Williams,-12.0
180,J. Randle - M. Robinson - Q. Grimes - I. Quickley - M. McBride,3.4
181,V. Oladipo - B. Adebayo - G. Vincent - M. Strus - J. Cain,10.0
182,M. Plumlee - K. Oubre Jr. - D. Smith Jr. - P. Washington - J. McDaniels,-11.5
183,T. Jones - D. Brooks - J. Jackson Jr. - X. Tillman - D. Bane,0.8
184,C. Paul - D. Booker - M. Bridges - D. Ayton - C. Johnson,5.9
